"MMM.Close","AXP.Close","AMGN.Close","AAPL.Close","BA.Close","CAT.Close","CVX.Close","CSCO.Close","KO.Close","DOW.Close","GS.Close","HD.Close","HON.Close","IBM.Close","INTC.Close","JNJ.Close","JPM.Close","MCD.Close","MRK.Close","MSFT.Close","NKE.Close","PG.Close","CRM.Close","TRV.Close","UNH.Close","VZ.Close","V.Close","WBA.Close","WMT.Close","DIS.Close"
165.580002,132.449997,224.839996,79.422501,316.559998,136.740005,111.120003,47.77,57.009998,47.16,242.580002,233.860001,175.460007,139.550003,67.309998,149.5,134.429993,210.389999,86.25,165.460007,100.410004,126.029999,182.850006,134.389999,285.869995,60.700001,202.850006,52.779999,116.599998,138.369995
162,131.679993,227.149994,81.084999,322.019989,135.779999,110.370003,47.049999,57.009998,49.669998,240.119995,234.020004,175.669998,137.690002,66.330002,150.539993,134.229996,214.440002,87.239998,168.039993,99.839996,125.059998,181.770004,133.270004,282.899994,59.529999,204.860001,52.279999,115.889999,136.059998
162.509995,133.220001,226.149994,80.967499,323.299988,135.369995,111.400002,47.240002,58.860001,48.470001,244.130005,232.789993,178.339996,136.770004,66.470001,150.360001,135.889999,216.179993,86.5,172.779999,98.190002,125.949997,185.669998,134.199997,280.980011,59.360001,208.210007,51.950001,116.580002,137.809998
158.660004,129.869995,216.050003,77.377502,318.269989,131.350006,107.139999,45.970001,58.400002,46.07,237.75,228.100006,173.220001,143.729996,63.93,148.869995,132.360001,213.970001,85.440002,170.229996,96.300003,124.620003,182.309998,131.619995,272.450012,59.439999,198.970001,50.849998,114.489998,138.309998
156.589996,131,216.880005,77.165001,316,129.770004,106.279999,46.529999,58.580002,46.740002,239.009995,231.539993,171.320007,146.270004,64.419998,150.169998,133.369995,215.179993,87.339996,174.380005,99.269997,125.110001,185.419998,133.610001,274.019989,58.049999,200.809998,50.950001,114.269997,141.320007
157.240005,131.850006,221.809998,79.712502,317.940002,133.509995,106.849998,47.619999,58.84,48.049999,241.940002,235,175.210007,149.110001,65.459999,151.600006,135.289993,214.619995,88.360001,180.119995,101.379997,125.660004,188.339996,132.580002,280.839996,58.290001,203.559998,52.34,115.269997,144.729996
162.330002,133.600006,231.940002,80.362503,329.549988,137.440002,110.279999,48.450001,58.849998,49.610001,244.300003,238.110001,176.899994,156.330002,67.339996,153.990005,137.589996,214.369995,85.830002,179.899994,100.540001,126.809998,185.490005,136.779999,295.730011,59.130001,202.809998,52.98,116.809998,141.369995
162.889999,133.25,231.449997,81.302498,341.429993,137.25,109.489998,48.689999,58.990002,49.200001,241.820007,238.839996,176.350006,156.759995,67.089996,153.529999,137.610001,212.869995,85.68,183.630005,100.269997,127.139999,186.729996,136.5,292.459991,59.439999,203.039993,53.490002,116.309998,142.699997
160.080002,131.820007,229.330002,80.0075,336.75,133.369995,108.940002,47.970001,59.189999,48.029999,238,237.300003,175.279999,153.410004,66.019997,151.889999,137.169998,211.610001,85.080002,183.889999,99.440002,126.080002,185.720001,136.009995,289.220001,59.939999,202.740005,53.240002,116.449997,141.020004
160.149994,132.240005,227.419998,80.387497,344.670013,134.320007,109.790001,48.869999,59.75,48.189999,237.360001,240.610001,176.949997,154.429993,66.389999,151.860001,137.740005,213.210007,85.660004,188.699997,100.019997,126.169998,189.119995,136.220001,287.029999,60.240002,205.990005,53.419998,115.25,142.589996
162.449997,132.630005,228.960007,79.902496,344.420013,136.190002,111.209999,49.130001,59.59,48.790001,236.460007,241.639999,179.149994,153.479996,67.410004,151.990005,138,215.729996,85.25,184.440002,100.019997,124.160004,189.110001,137.380005,290.790009,58.689999,203.940002,52.990002,115.400002,141.009995
163.800003,133.240005,227,81.800003,347.450012,139.589996,112.040001,49.93,59.41,49.380001,238.649994,241.589996,181.179993,155.309998,67.459999,151.089996,138,217.460007,83.25,184.710007,103,123.449997,189.460007,135.710007,303.480011,58.23,207.440002,54.470001,115.849998,141.850006
159.759995,134.460007,223.039993,81.217499,342.820007,139.720001,111.660004,47.32,59.610001,48.299999,238.350006,242.360001,180.119995,154.309998,67.440002,150.089996,137.880005,217.419998,81.970001,183.710007,103.370003,124.959999,188.639999,136.880005,302.200012,58.650002,207.399994,53.57,117.440002,140.899994
161.009995,135.869995,223.479996,81.237503,340.48999,137.990005,110.080002,46.970001,59.950001,48.630001,237.080002,245.029999,180.809998,150.699997,67.269997,150.130005,137.460007,217.089996,82.650002,185.350006,103.540001,126.139999,189.949997,137.759995,298.779999,58.509998,210.289993,52.849998,117.889999,139.539993
